시나리오아이디	대사아이디	리소스 아이디
scenario_id	local_script	t_resouce
scnrid_01	local_id_scnr_01	-1
scnrid_02	local_id_scnr_02	-1
scnrid_03	local_id_scnr_03	-1
scnrid_04	local_id_scnr_04	rcid_scnr_001
scnrid_05	local_id_scnr_05	rcid_scnr_001
scnrid_06	local_id_scnr_06	rcid_scnr_001
scnrid_07	local_id_scnr_07	rcid_scnr_001
scnrid_08	local_id_scnr_08	rcid_scnr_001
scnrid_09	local_id_scnr_09	-1
scnrid_10	local_id_scnr_10	-1
scnrid_11	local_id_scnr_11	-1
scnrid_12	local_id_scnr_12	-1
scnrid_13	local_id_scnr_13	-1
scnrid_14	local_id_scnr_14	rcid_scnr_001
scnrid_15	local_id_scnr_15	rcid_scnr_001
scnrid_16	local_id_scnr_16	rcid_scnr_001
scnrid_17	local_id_scnr_17	rcid_scnr_001
scnrid_18	local_id_scnr_18	rcid_scnr_001
scnrid_19	local_id_scnr_19	-1
scnrid_20	local_id_scnr_20	-1
scnrid_21	local_id_scnr_21	-1
scnrid_22	local_id_scnr_22	-1
scnrid_23	local_id_scnr_23	-1
scnrid_24	local_id_scnr_24	-1
scnrid_25	local_id_scnr_25	rcid_scnr_001
scnrid_26	local_id_scnr_26	rcid_scnr_001
scnrid_27	local_id_scnr_27	rcid_scnr_001
scnrid_28	local_id_scnr_28	rcid_scnr_001
